-27,1,58
-27,2,59
-27,1,59
-27,1,58
-27,1,59
-27,1,59
-27,1,59
-27,1,58
-27,1,58
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,58
-27,1,59
-27,1,58
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,2,59
-27,1,59
-27,1,59
-27,1,58
-27,1,59
-27,1,59
-27,1,58
-27,1,58
-27,1,59
-27,1,59
-27,1,58
-27,1,58
-27,1,59
-28,1,58
-27,1,59
-27,1,59
-27,1,58
-27,1,59
-27,1,58
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,58
-27,1,59
-27,1,58
-27,1,59
-27,1,58
-27,1,59
-27,1,58
-27,1,59
-28,1,58
-28,1,58
-27,1,58
-27,1,58
-27,1,58
-27,1,59
-27,1,58
-27,1,59
-27,1,59
-27,1,58
-27,1,58
-27,1,59
-27,1,59
-27,1,58
-27,1,59
-27,2,58
-27,2,58
-27,1,58
-27,1,58
-27,1,58
-28,1,58
-27,2,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,58
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,58
-27,1,59
-27,1,58
-28,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,58
-27,1,58
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,2,59
-27,1,58
-27,1,58
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,58
-27,1,58
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,58
-27,1,59
-27,1,59
-27,1,59
-27,1,58
-27,1,58
-27,1,58
-27,1,58
-27,1,59
-27,1,59
-27,1,59
-27,1,59
-27,1,58
-27,1,59
-27,1,59
-27,1,58
